filename,detected,det_conf,ocr_conf,raw_text,clean_text,normalized_text,expected_text,match
TUL831_4.jpg,True,0.9888729453086853,0.9999549393961757,3,3,0003,0831,False
MDZ095 _2.jpg,True,0.8632628321647644,0.9949583786402078,9 5,95,0095,0095,True
SDB2024.jpg,True,0.9329745173454285,0.9352515517029216,2 0/214,,,2024,False
MDZ100.jpg,True,0.9683675765991211,0.0,,,,0100,False
SDB1034.jpg,True,0.9329555034637451,0.5174247144855507,"3 , T4] 1 ""o",341,0341,1034,False
TUL879_3.JPG,True,0.9759626984596252,0.6307021974550012,1 W  4 8 7 9 2: nAs 10,,,0879,False
SDB281.jpg,True,0.9295923709869385,0.7233127216483001,0 218 ' 1,,,0281,False
MDZ087 _6.jpg,True,0.7645259499549866,0.9915413482981741,8,8,0008,0087,False
TUL878.JPG,True,0.8214628100395203,0.9851661050047265,8 7 8,878,0878,0878,True
TUL886_3.JPG,True,0.9576923251152039,0.4784696558714042,3 { 8 8 6,3886,3886,0886,False
SDB1035.jpg,True,0.9265732765197754,0.6367133236921971,8  1/0 3 5 J5 1,,,1035,False
MDZ168_3.jpg,True,0.9042738080024719,0.0,,,,0168,False
MDZ096 _1.jpg,True,0.9293733239173889,0.4151708735022196,> 6,6,0006,0096,False
TUL884_1.JPG,True,0.9772111177444458,0.9996573612254652,8 8 4,884,0884,0884,True
TUL865_1.JPG,True,0.919488251209259,0.9955732524394989,8 6 5,865,0865,0865,True
